Provincias;Sexo;Periodo;Total
13 Ciudad Real;Ambos sexos;2001;79,49
13 Ciudad Real;Ambos sexos;2000;79,56
13 Ciudad Real;Ambos sexos;1999;78,69
13 Ciudad Real;Ambos sexos;1998;78,69
13 Ciudad Real;Ambos sexos;1997;78,93
13 Ciudad Real;Ambos sexos;1996;78,16
14 Córdoba;Ambos sexos;2023;82,63
14 Córdoba;Ambos sexos;2022;81,94
14 Córdoba;Ambos sexos;2021;82,12
14 Córdoba;Ambos sexos;2020;82,25
14 Córdoba;Ambos sexos;2019;82,75
14 Córdoba;Ambos sexos;2018;82,51
14 Córdoba;Ambos sexos;2017;82,22
14 Córdoba;Ambos sexos;2016;82,49
14 Córdoba;Ambos sexos;2015;82,01
14 Córdoba;Ambos sexos;2014;82,39
14 Córdoba;Ambos sexos;2013;82,11
14 Córdoba;Ambos sexos;2012;81,46
14 Córdoba;Ambos sexos;2011;81,67
14 Córdoba;Ambos sexos;2010;81,55
14 Córdoba;Ambos sexos;2009;81,06
14 Córdoba;Ambos sexos;2008;80,74
14 Córdoba;Ambos sexos;2007;80,38
14 Córdoba;Ambos sexos;2006;80,49
14 Córdoba;Ambos sexos;2005;79,65
14 Córdoba;Ambos sexos;2004;79,76
14 Córdoba;Ambos sexos;2003;79,20
14 Córdoba;Ambos sexos;2002;79,06
14 Córdoba;Ambos sexos;2001;79,32
14 Córdoba;Ambos sexos;2000;79,20
14 Córdoba;Ambos sexos;1999;78,55
14 Córdoba;Ambos sexos;1998;78,28
14 Córdoba;Ambos sexos;1997;78,80
14 Córdoba;Ambos sexos;1996;78,09
15 Coruña, A;Ambos sexos;2023;83,72
15 Coruña, A;Ambos sexos;2022;83,11
15 Coruña, A;Ambos sexos;2021;83,14
15 Coruña, A;Ambos sexos;2020;83,43
15 Coruña, A;Ambos sexos;2019;83,35
15 Coruña, A;Ambos sexos;2018;82,76
15 Coruña, A;Ambos sexos;2017;82,92
15 Coruña, A;Ambos sexos;2016;82,53
15 Coruña, A;Ambos sexos;2015;82,32
15 Coruña, A;Ambos sexos;2014;82,62
15 Coruña, A;Ambos sexos;2013;82,34
15 Coruña, A;Ambos sexos;2012;82,22
15 Coruña, A;Ambos sexos;2011;81,96
15 Coruña, A;Ambos sexos;2010;81,69
15 Coruña, A;Ambos sexos;2009;81,16
15 Coruña, A;Ambos sexos;2008;81,07
15 Coruña, A;Ambos sexos;2007;80,54
15 Coruña, A;Ambos sexos;2006;80,66
15 Coruña, A;Ambos sexos;2005;80,29
15 Coruña, A;Ambos sexos;2004;80,33
15 Coruña, A;Ambos sexos;2003;79,56
15 Coruña, A;Ambos sexos;2002;80,03
15 Coruña, A;Ambos sexos;2001;79,75
15 Coruña, A;Ambos sexos;2000;79,10
15 Coruña, A;Ambos sexos;1999;78,78
15 Coruña, A;Ambos sexos;1998;78,86
15 Coruña, A;Ambos sexos;1997;78,52
15 Coruña, A;Ambos sexos;1996;77,62
16 Cuenca;Ambos sexos;2023;83,30
16 Cuenca;Ambos sexos;2022;83,09
16 Cuenca;Ambos sexos;2021;83,36
16 Cuenca;Ambos sexos;2020;80,78
16 Cuenca;Ambos sexos;2019;83,62
16 Cuenca;Ambos sexos;2018;83,28
16 Cuenca;Ambos sexos;2017;83,24
16 Cuenca;Ambos sexos;2016;83,18
16 Cuenca;Ambos sexos;2015;82,87
16 Cuenca;Ambos sexos;2014;83,37
16 Cuenca;Ambos sexos;2013;82,51
16 Cuenca;Ambos sexos;2012;82,11
16 Cuenca;Ambos sexos;2011;83,09
16 Cuenca;Ambos sexos;2010;82,87
16 Cuenca;Ambos sexos;2009;83,13
16 Cuenca;Ambos sexos;2008;82,01
16 Cuenca;Ambos sexos;2007;82,20
16 Cuenca;Ambos sexos;2006;82,16
16 Cuenca;Ambos sexos;2005;81,66
16 Cuenca;Ambos sexos;2004;81,62
16 Cuenca;Ambos sexos;2003;81,51
16 Cuenca;Ambos sexos;2002;80,92
16 Cuenca;Ambos sexos;2001;80,88
16 Cuenca;Ambos sexos;2000;81,16
16 Cuenca;Ambos sexos;1999;80,49
