Lugar de condena;Nacionalidad;Periodo;Total
52 Melilla;Total;2022;1.143
52 Melilla;Total;2021;1.127
52 Melilla;Total;2020;1.184
52 Melilla;Total;2019;1.855
52 Melilla;Total;2018;1.870
52 Melilla;Total;2017;1.767
52 Melilla;Total;2016;1.400
52 Melilla;Total;2015;1.489
52 Melilla;Total;2014;1.385
52 Melilla;Total;2013;1.357
